Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,735.0,780.0,685.0,750.0,750.0,21000
2021-03-02,750.0,750.0,700.0,750.0,750.0,100000
2021-03-03,745.0,770.0,710.0,750.0,750.0,8200
2021-03-04,750.0,780.0,720.0,760.0,760.0,437600
2021-03-05,770.0,770.0,760.0,765.0,765.0,12900
2021-03-08,770.0,770.0,760.0,760.0,760.0,3900
2021-03-09,760.0,795.0,760.0,795.0,795.0,12600
2021-03-10,795.0,795.0,770.0,770.0,770.0,2800
2021-03-12,770.0,780.0,720.0,780.0,780.0,17700
2021-03-15,780.0,780.0,745.0,775.0,775.0,5600
2021-03-16,775.0,775.0,775.0,775.0,775.0,500
2021-03-17,775.0,800.0,770.0,800.0,800.0,10900
2021-03-18,800.0,800.0,800.0,800.0,800.0,100
2021-03-19,800.0,800.0,760.0,765.0,765.0,400
2021-03-22,765.0,780.0,765.0,780.0,780.0,1108400
2021-03-23,780.0,780.0,730.0,775.0,775.0,25500
2021-03-24,775.0,775.0,775.0,775.0,775.0,900
2021-03-25,775.0,800.0,725.0,785.0,785.0,1214200
2021-03-26,790.0,790.0,745.0,780.0,780.0,4100
2021-03-29,780.0,790.0,780.0,785.0,785.0,8300
2021-03-30,785.0,785.0,745.0,785.0,785.0,20300
2021-03-31,785.0,785.0,735.0,750.0,750.0,4800
2021-04-01,750.0,800.0,750.0,785.0,785.0,1247100
2021-04-05,785.0,785.0,785.0,785.0,785.0,400
2021-04-06,785.0,785.0,785.0,785.0,785.0,200
2021-04-07,785.0,795.0,745.0,745.0,745.0,1500
2021-04-08,745.0,745.0,740.0,740.0,740.0,1400
2021-04-09,740.0,740.0,740.0,740.0,740.0,900
2021-04-12,730.0,730.0,730.0,730.0,730.0,200
2021-04-14,750.0,750.0,700.0,750.0,750.0,1800
