Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,284.0,290.0,284.0,290.0,290.0,1000
2021-03-02,290.0,290.0,290.0,290.0,290.0,2600
2021-03-03,290.0,298.0,284.0,284.0,284.0,173900
2021-03-04,284.0,298.0,284.0,298.0,298.0,187500
2021-03-05,298.0,298.0,280.0,298.0,298.0,57300
2021-03-08,284.0,284.0,284.0,284.0,284.0,9900
2021-03-09,284.0,294.0,284.0,294.0,294.0,72500
2021-03-10,294.0,294.0,290.0,294.0,294.0,177100
2021-03-12,294.0,294.0,286.0,294.0,294.0,169800
2021-03-15,294.0,296.0,286.0,296.0,296.0,154200
2021-03-16,296.0,296.0,288.0,296.0,296.0,124900
2021-03-17,296.0,296.0,286.0,296.0,296.0,73500
2021-03-18,296.0,296.0,294.0,294.0,294.0,59800
2021-03-19,294.0,300.0,288.0,300.0,300.0,63400
2021-03-22,298.0,298.0,290.0,298.0,298.0,6000
2021-03-23,292.0,300.0,292.0,300.0,300.0,62200
2021-03-24,298.0,300.0,290.0,290.0,290.0,8300
2021-03-25,286.0,298.0,276.0,298.0,298.0,89700
2021-03-26,294.0,296.0,294.0,296.0,296.0,2500
2021-03-29,296.0,296.0,294.0,294.0,294.0,600
2021-03-30,294.0,296.0,286.0,296.0,296.0,7300
2021-03-31,296.0,296.0,280.0,292.0,292.0,22300
2021-04-01,282.0,298.0,282.0,298.0,298.0,100500
2021-04-05,292.0,300.0,286.0,300.0,300.0,107300
2021-04-06,300.0,300.0,296.0,298.0,298.0,24100
2021-04-07,286.0,298.0,286.0,298.0,298.0,11100
2021-04-08,300.0,300.0,284.0,300.0,300.0,41300
2021-04-09,302.0,302.0,290.0,300.0,300.0,49700
2021-04-12,300.0,306.0,296.0,306.0,306.0,49500
2021-04-14,300.0,300.0,300.0,300.0,300.0,3200
