Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,520.0,520.0,520.0,520.0,520.0,100
2021-03-02,515.0,565.0,515.0,565.0,565.0,3200
2021-03-03,530.0,530.0,530.0,530.0,530.0,400
2021-03-04,530.0,530.0,498.0,520.0,520.0,4000
2021-03-05,520.0,520.0,520.0,520.0,520.0,0
2021-03-08,500.0,570.0,490.0,565.0,565.0,5700
2021-03-09,565.0,565.0,565.0,565.0,565.0,0
2021-03-10,565.0,565.0,565.0,565.0,565.0,0
2021-03-12,565.0,565.0,530.0,530.0,530.0,200
2021-03-15,530.0,530.0,520.0,520.0,520.0,1900
2021-03-16,520.0,525.0,500.0,520.0,520.0,6000
2021-03-17,490.0,490.0,490.0,490.0,490.0,5000
2021-03-18,490.0,490.0,486.0,486.0,486.0,6200
2021-03-19,466.0,466.0,462.0,462.0,462.0,200
2021-03-22,452.0,452.0,432.0,432.0,432.0,200
2021-03-23,430.0,430.0,430.0,430.0,430.0,200
2021-03-24,430.0,430.0,430.0,430.0,430.0,100
2021-03-25,430.0,430.0,430.0,430.0,430.0,1200
2021-03-26,430.0,500.0,430.0,500.0,500.0,6500
2021-03-29,500.0,500.0,500.0,500.0,500.0,0
2021-03-30,500.0,500.0,500.0,500.0,500.0,0
2021-03-31,500.0,500.0,468.0,468.0,468.0,200
2021-04-01,466.0,515.0,466.0,515.0,515.0,2300
2021-04-05,515.0,515.0,515.0,515.0,515.0,500
2021-04-06,515.0,515.0,480.0,480.0,480.0,200
2021-04-07,545.0,550.0,450.0,498.0,498.0,14300
2021-04-08,498.0,498.0,498.0,498.0,498.0,0
2021-04-09,498.0,498.0,498.0,498.0,498.0,0
2021-04-12,498.0,498.0,498.0,498.0,498.0,100
2021-04-14,444.0,545.0,444.0,444.0,444.0,4200
